NOVO LINO-AL,,,,,,,,,AL,,,,"448,75",,,,,,,,,-,,,,,,"448,75",,,,,,,,,"2.854,43",,,,,,,
PARIPUEIRA-AL,,,,,,,,,AL,,,,"427,38",,,,,,,,,"9.510,47",,,,,,"9.937,85",,,,,,,,,"47.484,24",,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,AL,,,,"470,12",,,,,,,,,-,,,,,,"470,12",,,,,,,,,"2.990,37",,,,,,,
PENEDO-AL,,,,,,,,,AL,,,,"705,19",,,,,,,,,-,,,,,,"705,19",,,,,,,,,"1.318.289,45",,,,,,,
PIACABUCU-AL,,,,,,,,,AL,,,,"512,86",,,,,,,,,-,,,,,,"512,86",,,,,,,,,"3.262,22",,,,,,,
PILAR-AL,,,,,,,,,AL,,,,"122.855,93",,,,,,,,,"78.856,14",,,,,,"201.712,07",,,,,,,,,"942.018,54",,,,,,,
PINDOBA-AL,,,,,,,,,AL,,,,"427,38",,,,,,,,,-,,,,,,"427,38",,,,,,,,,"2.718,52",,,,,,,
PORTO CALVO-AL,,,,,,,,,AL,,,,"576,97",,,,,,,,,-,,,,,,"576,97",,,,,,,,,"3.670,01",,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,AL,,,,"448,75",,,,,,,,,-,,,,,,"448,75",,,,,,,,,"2.854,43",,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,AL,,,,"512,86",,,,,,,,,-,,,,,,"512,86",,,,,,,,,"3.262,22",,,,,,,
RIO LARGO-AL,,,,,,,,,AL,,,,"12.286,76",,,,,,,,,"7.456,33",,,,,,"19.743,09",,,,,,,,,"100.577,91",,,,,,,
ROTEIRO-AL,,,,,,,,,AL,,,,"62.289,35",,,,,,,,,"960,42",,,,,,"63.249,77",,,,,,,,,"189.979,60",,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,,AL,,,,"427,38",,,,,,,,,-,,,,,,"427,38",,,,,,,,,"3.901,67",,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,AL,,,,"448,75",,,,,,,,,-,,,,,,"448,75",,,,,,,,,"2.854,43",,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,AL,,,,"555,60",,,,,,,,,-,,,,,,"555,60",,,,,,,,,"3.534,08",,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,,AL,,,,"598,34",,,,,,,,,-,,,,,,"598,34",,,,,,,,,"3.805,93",,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,,AL,,,,"252.881,88",,,,,,,,,"193.679,88",,,,,,"446.561,76",,,,,,,,,"2.584.245,44",,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,,AL,,,,"427,38",,,,,,,,,-,,,,,,"427,38",,,,,,,,,"2.718,52",,,,,,,
SATUBA-AL,,,,,,,,,AL,,,,"36.218,72",,,,,,,,,"23.044,06",,,,,,"59.262,78",,,,,,,,,"1.560.603,25",,,,,,,
TEOTONIO VILELA-AL,,,,,,,,,AL,,,,"662,45",,,,,,,,,-,,,,,,"662,45",,,,,,,,,"4.213,72",,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,,AL,,,,"705,19",,,,,,,,,-,,,,,,"705,19",,,,,,,,,"4.485,57",,,,,,,
VICOSA-AL,,,,,,,,,AL,,,,"576,97",,,,,,,,,-,,,,,,"576,97",,,,,,,,,"3.670,01",,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,,,"3.154.044,22",,,,,,,,,"498.337,35",,,,,,"3.652.381,57",,,,,,,,,"15.352.717,57",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAMA-AM,,,,,,,,,AM,,,,-,,,,,,,,,"2.361,61",,,,,,"2.361,61",,,,,,,,,"13.094,21",,,,,,,
ANORI-AM,,,,,,,,,AM,,,,-,,,,,,,,,"2.361,61",,,,,,"2.361,61",,,,,,,,,"13.094,21",,,,,,,
AUTAZES-AM,,,,,,,,,AM,,,,-,,,,,,,,,"6.411,04",,,,,,"6.411,04",,,,,,,,,"34.675,23",,,,,,,
BERURI-AM,,,,,,,,,AM,,,,-,,,,,,,,,"2.361,61",,,,,,"2.361,61",,,,,,,,,"13.094,21",,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,,AM,,,,-,,,,,,,,,"6.411,04",,,,,,"6.411,04",,,,,,,,,"34.675,23",,,,,,,
CAREIRO-AM,,,,,,,,,AM,,,,-,,,,,,,,,"2.361,61",,,,,,"2.361,61",,,,,,,,,"13.094,21",,,,,,,
COARI-AM,,,,,,,,,AM,,,,"1.880.950,10",,,,,,,,,"1.871.491,57",,,,,,"3.752.441,67",,,,,,,,,"18.947.978,37",,,,,,,
CODAJAS-AM,,,,,,,,,AM,,,,-,,,,,,,,,"2.361,61",,,,,,"2.361,61",,,,,,,,,"13.094,21",,,,,,,
IRANDUBA-AM,,,,,,,,,AM,,,,-,,,,,,,,,"6.411,04",,,,,,"6.411,04",,,,,,,,,"34.675,23",,,,,,,
ITACOATIARA-AM,,,,,,,,,AM,,,,-,,,,,,,,,"6.411,04",,,,,,"6.411,04",,,,,,,,,"34.675,23",,,,,,,
ITAPIRANGA-AM,,,,,,,,,AM,,,,-,,,,,,,,,"6.411,04",,,,,,"6.411,04",,,,,,,,,"34.675,23",,,,,,,
MANACAPURU-AM,,,,,,,,,AM,,,,-,,,,,,,,,"2.361,61",,,,,,"2.361,61",,,,,,,,,"13.094,21",,,,,,,
MANAQUIRI-AM,,,,,,,,,AM,,,,-,,,,,,,,,"2.361,61",,,,,,"2.361,61",,,,,,,,,"13.094,21",,,,,,,
MANAUS-AM,,,,,,,,,AM,,,,"1.215.670,51",,,,,,,,,"80.650,66",,,,,,"1.296.321,17",,,,,,,,,"5.692.575,43",,,,,,,
PARINTINS-AM,,,,,,,,,AM,,,,-,,,,,,,,,"6.411,04",,,,,,"6.411,04",,,,,,,,,"34.675,23",,,,,,,
SILVES-AM,,,,,,,,,AM,,,,-,,,,,,,,,"6.411,04",,,,,,"6.411,04",,,,,,,,,"34.675,23",,,,,,,
URUCARA-AM,,,,,,,,,AM,,,,-,,,,,,,,,"6.411,04",,,,,,"6.411,04",,,,,,,,,"34.675,23",,,,,,,
URUCURITUBA-AM,,,,,,,,,AM,,,,-,,,,,,,,,"6.411,04",,,,,,"6.411,04",,,,,,,,,"34.675,23",,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,,,,"3.096.620,61",,,,,,,,,"2.026.372,86",,,,,,"5.122.993,47",,,,,,,,,"25.044.290,34",,,,,,,
LARANJAL DO JARI-AP,,,,,,,,,AP,,,,-,,,,,,,,,"6.411,04",,,,,,"6.411,04",,,,,,,,,"34.675,23",,,,,,,
MACAPA-AP,,,,,,,,,AP,,,,-,,,,,,,,,"6.411,04",,,,,,"6.411,04",,,,,,,,,"34.675,23",,,,,,,
MAZAGAO-AP,,,,,,,,,AP,,,,-,,,,,,,,,"6.411,04",,,,,,"6.411,04",,,,,,,,,"34.675,23",,,,,,,
AMAPA  TOTAL,,,,,,,,,,,,,-,,,,,,,,,"19.233,12",,,,,,"19.233,12",,,,,,,,,"104.025,69",,,,,,,
ACAJUTIBA-BA,,,,,,,,,BA,,,,"1.140,72",,,,,,,,,-,,,,,,"1.140,72",,,,,,,,,"6.156,58",,,,,,,
ADUSTINA-BA,,,,,,,,,BA,,,,"1.140,72",,,,,,,,,-,,,,,,"1.140,72",,,,,,,,,"6.156,58",,,,,,,
AGUA FRIA-BA,,,,,,,,,BA,,,,"1.140,72",,,,,,,,,-,,,,,,"1.140,72",,,,,,,,,"6.156,58",,,,,,,
AIQUARA-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
ALAGOINHAS-BA,,,,,,,,,BA,,,,"258.164,07",,,,,,,,,"159.369,61",,,,,,"417.533,68",,,,,,,,,"2.057.184,45",,,,,,,
ALCOBACA-BA,,,,,,,,,BA,,,,"1.239,91",,,,,,,,,-,,,,,,"1.239,91",,,,,,,,,"6.691,95",,,,,,,
ALMADINA-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
AMARGOSA-BA,,,,,,,,,BA,,,,"1.438,30",,,,,,,,,-,,,,,,"1.438,30",,,,,,,,,"7.762,69",,,,,,,
AMELIA RODRIGUES-BA,,,,,,,,,BA,,,,"1.289,51",,,,,,,,,-,,,,,,"1.289,51",,,,,,,,,"6.959,64",,,,,,,
ANAGE-BA,,,,,,,,,BA,,,,"1.339,10",,,,,,,,,-,,,,,,"1.339,10",,,,,,,,,"7.227,30",,,,,,,
ANGUERA-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
ANTAS-BA,,,,,,,,,BA,,,,"1.190,31",,,,,,,,,-,,,,,,"1.190,31",,,,,,,,,"6.424,28",,,,,,,
ANTONIO CARDOSO-BA,,,,,,,,,BA,,,,"1.091,12",,,,,,,,,-,,,,,,"1.091,12",,,,,,,,,"5.888,92",,,,,,,
APORA-BA,,,,,,,,,BA,,,,"1.190,31",,,,,,,,,-,,,,,,"1.190,31",,,,,,,,,"6.424,28",,,,,,,
APUAREMA-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
ARACAS-BA,,,,,,,,,BA,,,,"229.618,40",,,,,,,,,"136.640,97",,,,,,"366.259,37",,,,,,,,,"1.954.612,34",,,,,,,
ARACI-BA,,,,,,,,,BA,,,,"1.587,08",,,,,,,,,-,,,,,,"1.587,08",,,,,,,,,"8.565,71",,,,,,,
ARAMARI-BA,,,,,,,,,BA,,,,"2.652,25",,,,,,,,,"697,33",,,,,,"3.349,58",,,,,,,,,"11.483,31",,,,,,,
ARATACA-BA,,,,,,,,,BA,,,,"1.041,52",,,,,,,,,-,,,,,,"1.041,52",,,,,,,,,"5.621,24",,,,,,,
ARATUIPE-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
AURELINO LEAL-BA,,,,,,,,,BA,,,,"1.140,72",,,,,,,,,-,,,,,,"1.140,72",,,,,,,,,"6.156,58",,,,,,,
BAIXA GRANDE-BA,,,,,,,,,BA,,,,"1.289,51",,,,,,,,,-,,,,,,"1.289,51",,,,,,,,,"6.959,64",,,,,,,
BANZAE-BA,,,,,,,,,BA,,,,"1.041,52",,,,,,,,,-,,,,,,"1.041,52",,,,,,,,,"5.621,24",,,,,,,
BARRA DO CHOCA-BA,,,,,,,,,BA,,,,"1.438,30",,,,,,,,,-,,,,,,"1.438,30",,,,,,,,,"7.762,69",,,,,,,
BARRA DO ROCHA-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
BARRO PRETO-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
BARROCAS-BA,,,,,,,,,BA,,,,"1.091,12",,,,,,,,,-,,,,,,"1.091,12",,,,,,,,,"5.888,92",,,,,,,
BELMONTE-BA,,,,,,,,,BA,,,,"1.289,51",,,,,,,,,-,,,,,,"1.289,51",,,,,,,,,"6.959,64",,,,,,,
BELO CAMPO-BA,,,,,,,,,BA,,,,"1.140,72",,,,,,,,,-,,,,,,"1.140,72",,,,,,,,,"6.156,58",,,,,,,
BIRITINGA-BA,,,,,,,,,BA,,,,"1.091,12",,,,,,,,,-,,,,,,"1.091,12",,,,,,,,,"5.888,92",,,,,,,
BOA NOVA-BA,,,,,,,,,BA,,,,"1.190,31",,,,,,,,,-,,,,,,"1.190,31",,,,,,,,,"6.424,28",,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,,,BA,,,,"1.190,31",,,,,,,,,-,,,,,,"1.190,31",,,,,,,,,"6.424,28",,,,,,,
BOM JESUS DA SERRA-BA,,,,,,,,,BA,,,,"1.041,52",,,,,,,,,-,,,,,,"1.041,52",,,,,,,,,"5.621,24",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREJOES-BA,,,,,,,,,BA,,,,"1.091,12",,,,,,,,,-,,,,,,"1.091,12",,,,,,,,,"5.888,92",,,,,,,
BUERAREMA-BA,,,,,,,,,BA,,,,"1.239,91",,,,,,,,,-,,,,,,"1.239,91",,,,,,,,,"6.691,95",,,,,,,
CAATIBA-BA,,,,,,,,,BA,,,,"1.041,52",,,,,,,,,-,,,,,,"1.041,52",,,,,,,,,"5.621,24",,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,,,,BA,,,,"1.190,31",,,,,,,,,-,,,,,,"1.190,31",,,,,,,,,"6.424,28",,,,,,,
CACHOEIRA-BA,,,,,,,,,BA,,,,"1.438,30",,,,,,,,,-,,,,,,"1.438,30",,,,,,,,,"7.762,69",,,,,,,
CAEM-BA,,,,,,,,,BA,,,,"1.041,52",,,,,,,,,-,,,,,,"1.041,52",,,,,,,,,"5.621,24",,,,,,,
CAETANOS-BA,,,,,,,,,BA,,,,"1.091,12",,,,,,,,,-,,,,,,"1.091,12",,,,,,,,,"5.888,92",,,,,,,
CAIRU-BA,,,,,,,,,BA,,,,"37.265,64",,,,,,,,,"387.457,80",,,,,,"424.723,44",,,,,,,,,"2.293.761,08",,,,,,,
CAMACAN-BA,,,,,,,,,BA,,,,"1.388,70",,,,,,,,,-,,,,,,"1.388,70",,,,,,,,,"7.495,00",,,,,,,
CAMACARI-BA,,,,,,,,,BA,,,,"2.224,26",,,,,,,,,"100,97",,,,,,"2.325,23",,,,,,,,,"14.206,47",,,,,,,
CAMAMU-BA,,,,,,,,,BA,,,,"1.438,30",,,,,,,,,-,,,,,,"1.438,30",,,,,,,,,"7.762,69",,,,,,,
CANAVIEIRAS-BA,,,,,,,,,BA,,,,"1.438,30",,,,,,,,,-,,,,,,"1.438,30",,,,,,,,,"7.762,69",,,,,,,
CANDEAL-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
CANDEIAS-BA,,,,,,,,,BA,,,,"180.633,40",,,,,,,,,"254.479,60",,,,,,"435.113,00",,,,,,,,,"2.215.294,03",,,,,,,
CANDIDO SALES-BA,,,,,,,,,BA,,,,"1.339,10",,,,,,,,,-,,,,,,"1.339,10",,,,,,,,,"7.227,30",,,,,,,
CANSANCAO-BA,,,,,,,,,BA,,,,"1.438,30",,,,,,,,,-,,,,,,"1.438,30",,,,,,,,,"7.762,69",,,,,,,
CANUDOS-BA,,,,,,,,,BA,,,,"1.140,72",,,,,,,,,-,,,,,,"1.140,72",,,,,,,,,"6.156,58",,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,,,BA,,,,"1.091,12",,,,,,,,,-,,,,,,"1.091,12",,,,,,,,,"5.888,92",,,,,,,
CAPIM GROSSO-BA,,,,,,,,,BA,,,,"1.339,10",,,,,,,,,-,,,,,,"1.339,10",,,,,,,,,"7.227,30",,,,,,,
CARAVELAS-BA,,,,,,,,,BA,,,,"1.289,51",,,,,,,,,-,,,,,,"1.289,51",,,,,,,,,"6.959,64",,,,,,,
CARDEAL DA SILVA-BA,,,,,,,,,BA,,,,"113.844,73",,,,,,,,,"50.523,62",,,,,,"164.368,35",,,,,,,,,"763.373,53",,,,,,,
CASTRO ALVES-BA,,,,,,,,,BA,,,,"1.339,10",,,,,,,,,-,,,,,,"1.339,10",,,,,,,,,"7.227,30",,,,,,,
CATU-BA,,,,,,,,,BA,,,,"156.268,60",,,,,,,,,"86.513,92",,,,,,"242.782,52",,,,,,,,,"1.210.082,29",,,,,,,
CICERO DANTAS-BA,,,,,,,,,BA,,,,"1.388,70",,,,,,,,,-,,,,,,"1.388,70",,,,,,,,,"7.495,00",,,,,,,
CIPO-BA,,,,,,,,,BA,,,,"1.140,72",,,,,,,,,-,,,,,,"1.140,72",,,,,,,,,"6.156,58",,,,,,,
COARACI-BA,,,,,,,,,BA,,,,"1.289,51",,,,,,,,,-,,,,,,"1.289,51",,,,,,,,,"6.959,64",,,,,,,
CONCEICAO DA FEIRA-BA,,,,,,,,,BA,,,,"1.239,91",,,,,,,,,-,,,,,,"1.239,91",,,,,,,,,"6.691,95",,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,,,,BA,,,,"1.190,31",,,,,,,,,-,,,,,,"1.190,31",,,,,,,,,"6.424,28",,,,,,,
CONCEICAO DO COITE-BA,,,,,,,,,BA,,,,"1.636,68",,,,,,,,,-,,,,,,"1.636,68",,,,,,,,,"8.833,38",,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,,,,BA,,,,"1.339,10",,,,,,,,,-,,,,,,"1.339,10",,,,,,,,,"7.227,30",,,,,,,
CONDE-BA,,,,,,,,,BA,,,,"4.376,49",,,,,,,,,"1.991,10",,,,,,"6.367,59",,,,,,,,,"32.998,33",,,,,,,
CORACAO DE MARIA-BA,,,,,,,,,BA,,,,"1.289,51",,,,,,,,,-,,,,,,"1.289,51",,,,,,,,,"6.959,64",,,,,,,
CORONEL JOAO SA-BA,,,,,,,,,BA,,,,"1.239,91",,,,,,,,,-,,,,,,"1.239,91",,,,,,,,,"6.691,95",,,,,,,
CRAVOLANDIA-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
CRISOPOLIS-BA,,,,,,,,,BA,,,,"1.239,91",,,,,,,,,-,,,,,,"1.239,91",,,,,,,,,"6.691,95",,,,,,,
CRUZ DAS ALMAS-BA,,,,,,,,,BA,,,,"1.587,08",,,,,,,,,-,,,,,,"1.587,08",,,,,,,,,"8.565,71",,,,,,,
DARIO MEIRA-BA,,,,,,,,,BA,,,,"1.091,12",,,,,,,,,-,,,,,,"1.091,12",,,,,,,,,"5.888,92",,,,,,,
DIAS D'AVILA-BA,,,,,,,,,BA,,,,"1.587,08",,,,,,,,,-,,,,,,"1.587,08",,,,,,,,,"8.565,71",,,,,,,
DOM MACEDO COSTA-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
ELISIO MEDRADO-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
ENCRUZILHADA-BA,,,,,,,,,BA,,,,"1.289,51",,,,,,,,,-,,,,,,"1.289,51",,,,,,,,,"6.959,64",,,,,,,
ENTRE RIOS-BA,,,,,,,,,BA,,,,"191.215,58",,,,,,,,,"151.980,30",,,,,,"343.195,88",,,,,,,,,"1.864.953,91",,,,,,,
ESPLANADA-BA,,,,,,,,,BA,,,,"1.202.081,82",,,,,,,,,"332.871,69",,,,,,"1.534.953,51",,,,,,,,,"7.178.422,37",,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,,,,BA,,,,"1.636,68",,,,,,,,,-,,,,,,"1.636,68",,,,,,,,,"8.833,38",,,,,,,
EUNAPOLIS-BA,,,,,,,,,BA,,,,"1.785,47",,,,,,,,,-,,,,,,"1.785,47",,,,,,,,,"9.636,43",,,,,,,
FATIMA-BA,,,,,,,,,BA,,,,"1.239,91",,,,,,,,,-,,,,,,"1.239,91",,,,,,,,,"6.691,95",,,,,,,
FEIRA DE SANTANA-BA,,,,,,,,,BA,,,,"1.983,86",,,,,,,,,-,,,,,,"1.983,86",,,,,,,,,"10.707,14",,,,,,,
FIRMINO ALVES-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
FLORESTA AZUL-BA,,,,,,,,,BA,,,,"1.041,52",,,,,,,,,-,,,,,,"1.041,52",,,,,,,,,"5.621,24",,,,,,,
GANDU-BA,,,,,,,,,BA,,,,"1.388,70",,,,,,,,,-,,,,,,"1.388,70",,,,,,,,,"7.495,00",,,,,,,
GAVIAO-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
GLORIA-BA,,,,,,,,,BA,,,,"1.091,12",,,,,,,,,-,,,,,,"1.091,12",,,,,,,,,"5.888,92",,,,,,,
GONGOGI-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,,,,BA,,,,"1.239,91",,,,,,,,,-,,,,,,"1.239,91",,,,,,,,,"6.691,95",,,,,,,
GUARATINGA-BA,,,,,,,,,BA,,,,"1.289,51",,,,,,,,,-,,,,,,"1.289,51",,,,,,,,,"6.959,64",,,,,,,
HELIOPOLIS-BA,,,,,,,,,BA,,,,"1.140,72",,,,,,,,,-,,,,,,"1.140,72",,,,,,,,,"6.156,58",,,,,,,
IACU-BA,,,,,,,,,BA,,,,"1.339,10",,,,,,,,,-,,,,,,"1.339,10",,,,,,,,,"7.227,30",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBICARAI-BA,,,,,,,,,BA,,,,"1.339,10",,,,,,,,,-,,,,,,"1.339,10",,,,,,,,,"7.227,30",,,,,,,
IBICUI-BA,,,,,,,,,BA,,,,"1.140,72",,,,,,,,,-,,,,,,"1.140,72",,,,,,,,,"6.156,58",,,,,,,
IBIQUERA-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
IBIRAPITANGA-BA,,,,,,,,,BA,,,,"1.289,51",,,,,,,,,-,,,,,,"1.289,51",,,,,,,,,"6.959,64",,,,,,,
IBIRAPUA-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
IBIRATAIA-BA,,,,,,,,,BA,,,,"1.289,51",,,,,,,,,-,,,,,,"1.289,51",,,,,,,,,"6.959,64",,,,,,,
ICHU-BA,,,,,,,,,BA,,,,"991,93",,,,,,,,,-,,,,,,"991,93",,,,,,,,,"5.353,57",,,,,,,
IGRAPIUNA-BA,,,,,,,,,BA,,,,"1.091,12",,,,,,,,,-,,,,,,"1.091,12",,,,,,,,,"5.888,92",,,,,,,
IGUAI-BA,,,,,,,,,BA,,,,"1.339,10",,,,,,,,,-,,,,,,"1.339,10",,,,,,,,,"7.227,30",,,,,,,
ILHEUS-BA,,,,,,,,,BA,,,,"1.983,86",,,,,,,,,-,,,,,,"1.983,86",,,,,,,,,"10.707,14",,,,,,,
INHAMBUPE-BA,,,,,,,,,BA,,,,"2.147,18",,,,,,,,,"361,53",,,,,,"2.508,71",,,,,,,,,"14.230,62",,,,,,,
IPECAETA-BA,,,,,,,,,BA,,,,"1.190,31",,,,,,,,,-,,,,,,"1.190,31",,,,,,,,,"6.424,28",,,,,,,
IPIAU-BA,,,,,,,,,BA,,,,"1.537,49",,,,,,,,,-,,,,,,"1.537,49",,,,,,,,,"8.298,04",,,,,,,
