TEOTONIO VILELA-AL,,,,,AL,,,"687,79",,,,,,-,,,,,,,"687,79",,,,,,,"6.376,63",,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,"732,16",,,,,,-,,,,,,,"732,16",,,,,,,"6.788,01",,,,,,,,,,,,
VICOSA-AL,,,,,AL,,,"599,04",,,,,,-,,,,,,,"599,04",,,,,,,"5.553,81",,,,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,"5.580.643,65",,,,,,"406.219,90",,,,,,,"5.986.863,55",,,,,,,"57.126.928,84",,,,,,,,,,,,
ANAMA-AM,,,,,AM,,,"36.768,70",,,,,,"1.908,89",,,,,,,"38.677,59",,,,,,,"416.427,02",,,,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANORI-AM,,,,,AM,,,"36.768,70",,,,,,"2.047,48",,,,,,,"38.816,18",,,,,,,"418.454,82",,,,,,,,,,,,
AUTAZES-AM,,,,,AM,,,-,,,,,,"6.461,59",,,,,,,"6.461,59",,,,,,,"61.042,92",,,,,,,,,,,,
BERURI-AM,,,,,AM,,,-,,,,,,"1.708,14",,,,,,,"1.708,14",,,,,,,"18.282,57",,,,,,,,,,,,
CAAPIRANGA-AM,,,,,AM,,,"36.768,70",,,,,,"199,37",,,,,,,"36.968,07",,,,,,,"397.136,09",,,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,AM,,,-,,,,,,"6.461,59",,,,,,,"6.461,59",,,,,,,"61.042,92",,,,,,,,,,,,
CAREIRO-AM,,,,,AM,,,-,,,,,,"1.708,14",,,,,,,"1.708,14",,,,,,,"18.282,57",,,,,,,,,,,,
COARI-AM,,,,,AM,,,"2.215.030,41",,,,,,"1.983.908,37",,,,,,,"4.198.938,78",,,,,,,"41.508.684,28",,,,,,,,,,,,
CODAJAS-AM,,,,,AM,,,"36.768,70",,,,,,"2.219,13",,,,,,,"38.987,83",,,,,,,"415.527,41",,,,,,,,,,,,
IRANDUBA-AM,,,,,AM,,,-,,,,,,"6.461,59",,,,,,,"6.461,59",,,,,,,"61.042,92",,,,,,,,,,,,
ITACOATIARA-AM,,,,,AM,,,-,,,,,,"6.461,59",,,,,,,"6.461,59",,,,,,,"61.042,92",,,,,,,,,,,,
ITAPIRANGA-AM,,,,,AM,,,-,,,,,,"6.461,59",,,,,,,"6.461,59",,,,,,,"61.042,92",,,,,,,,,,,,
MANACAPURU-AM,,,,,AM,,,-,,,,,,"1.708,14",,,,,,,"1.708,14",,,,,,,"18.282,57",,,,,,,,,,,,
MANAQUIRI-AM,,,,,AM,,,-,,,,,,"1.708,14",,,,,,,"1.708,14",,,,,,,"18.282,57",,,,,,,,,,,,
MANAUS-AM,,,,,AM,,,"267.176,19",,,,,,"199.373,78",,,,,,,"466.549,97",,,,,,,"4.802.735,12",,,,,,,,,,,,
PARINTINS-AM,,,,,AM,,,-,,,,,,"6.461,59",,,,,,,"6.461,59",,,,,,,"61.042,92",,,,,,,,,,,,
SILVES-AM,,,,,AM,,,-,,,,,,"6.461,59",,,,,,,"6.461,59",,,,,,,"61.042,92",,,,,,,,,,,,
TEFE-AM,,,,,AM,,,"156.557,63",,,,,,"62.589,57",,,,,,,"219.147,20",,,,,,,"2.286.292,73",,,,,,,,,,,,
URUCARA-AM,,,,,AM,,,-,,,,,,"6.461,59",,,,,,,"6.461,59",,,,,,,"61.042,92",,,,,,,,,,,,
URUCURITUBA-AM,,,,,AM,,,-,,,,,,"6.461,59",,,,,,,"6.461,59",,,,,,,"61.042,92",,,,,,,,,,,,
AMAZONAS  TOTAL,,,,,,,,"2.785.839,03",,,,,,"2.317.233,46",,,,,,,"5.103.072,49",,,,,,,"50.867.774,03",,,,,,,,,,,,
LARANJAL DO JARI-AP,,,,,AP,,,-,,,,,,"6.461,59",,,,,,,"6.461,59",,,,,,,"61.042,92",,,,,,,,,,,,
MACAPA-AP,,,,,AP,,,-,,,,,,"6.461,59",,,,,,,"6.461,59",,,,,,,"61.042,92",,,,,,,,,,,,
MAZAGAO-AP,,,,,AP,,,-,,,,,,"6.461,59",,,,,,,"6.461,59",,,,,,,"61.042,92",,,,,,,,,,,,
AMAPA  TOTAL,,,,,,,,-,,,,,,"19.384,77",,,,,,,"19.384,77",,,,,,,"183.128,76",,,,,,,,,,,,
ACAJUTIBA-BA,,,,,BA,,,"1.074,89",,,,,,-,,,,,,,"1.074,89",,,,,,,"12.915,91",,,,,,,,,,,,
ADUSTINA-BA,,,,,BA,,,"1.074,89",,,,,,-,,,,,,,"1.074,89",,,,,,,"12.915,91",,,,,,,,,,,,
AGUA FRIA-BA,,,,,BA,,,"1.074,89",,,,,,-,,,,,,,"1.074,89",,,,,,,"12.915,91",,,,,,,,,,,,
AIQUARA-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
ALAGOINHAS-BA,,,,,BA,,,"249.385,60",,,,,,"164.474,65",,,,,,,"413.860,25",,,,,,,"4.692.606,27",,,,,,,,,,,,
ALCOBACA-BA,,,,,BA,,,"1.215,09",,,,,,-,,,,,,,"1.215,09",,,,,,,"14.600,61",,,,,,,,,,,,
ALMADINA-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
AMARGOSA-BA,,,,,BA,,,"1.355,29",,,,,,-,,,,,,,"1.355,29",,,,,,,"16.285,30",,,,,,,,,,,,
AMELIA RODRIGUES-BA,,,,,BA,,,"1.261,82",,,,,,-,,,,,,,"1.261,82",,,,,,,"15.162,16",,,,,,,,,,,,
ANAGE-BA,,,,,BA,,,"1.261,82",,,,,,-,,,,,,,"1.261,82",,,,,,,"15.162,16",,,,,,,,,,,,
ANGUERA-BA,,,,,BA,,,"981,42",,,,,,-,,,,,,,"981,42",,,,,,,"11.792,78",,,,,,,,,,,,
ANTAS-BA,,,,,BA,,,"1.121,62",,,,,,-,,,,,,,"1.121,62",,,,,,,"13.477,47",,,,,,,,,,,,
ANTONIO CARDOSO-BA,,,,,BA,,,"981,42",,,,,,-,,,,,,,"981,42",,,,,,,"11.792,78",,,,,,,,,,,,
APORA-BA,,,,,BA,,,"1.121,62",,,,,,-,,,,,,,"1.121,62",,,,,,,"13.477,47",,,,,,,,,,,,
APUAREMA-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
ARACAS-BA,,,,,BA,,,"286.796,88",,,,,,"166.687,65",,,,,,,"453.484,53",,,,,,,"5.474.889,68",,,,,,,,,,,,
ARACI-BA,,,,,BA,,,"1.495,49",,,,,,-,,,,,,,"1.495,49",,,,,,,"17.969,97",,,,,,,,,,,,
ARAMARI-BA,,,,,BA,,,"1.279,70",,,,,,"125,28",,,,,,,"1.404,98",,,,,,,"22.102,45",,,,,,,,,,,,
ARATACA-BA,,,,,BA,,,"981,42",,,,,,-,,,,,,,"981,42",,,,,,,"11.792,78",,,,,,,,,,,,
ARATUIPE-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
AURELINO LEAL-BA,,,,,BA,,,"1.028,15",,,,,,-,,,,,,,"1.028,15",,,,,,,"12.354,35",,,,,,,,,,,,
BAIXA GRANDE-BA,,,,,BA,,,"1.215,09",,,,,,-,,,,,,,"1.215,09",,,,,,,"14.600,61",,,,,,,,,,,,
BANZAE-BA,,,,,BA,,,"981,42",,,,,,-,,,,,,,"981,42",,,,,,,"11.792,78",,,,,,,,,,,,
BARRA DO CHOCA-BA,,,,,BA,,,"1.355,29",,,,,,-,,,,,,,"1.355,29",,,,,,,"16.285,30",,,,,,,,,,,,
BARRA DO ROCHA-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
BARRO PRETO-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
BARROCAS-BA,,,,,BA,,,"1.074,89",,,,,,-,,,,,,,"1.074,89",,,,,,,"12.915,91",,,,,,,,,,,,
BELMONTE-BA,,,,,BA,,,"1.215,09",,,,,,-,,,,,,,"1.215,09",,,,,,,"14.600,61",,,,,,,,,,,,
BELO CAMPO-BA,,,,,BA,,,"1.121,62",,,,,,-,,,,,,,"1.121,62",,,,,,,"13.477,47",,,,,,,,,,,,
BIRITINGA-BA,,,,,BA,,,"1.074,89",,,,,,-,,,,,,,"1.074,89",,,,,,,"12.915,91",,,,,,,,,,,,
BOA NOVA-BA,,,,,BA,,,"1.074,89",,,,,,-,,,,,,,"1.074,89",,,,,,,"12.915,91",,,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,BA,,,"1.121,62",,,,,,-,,,,,,,"1.121,62",,,,,,,"13.477,47",,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,BA,,,"981,42",,,,,,-,,,,,,,"981,42",,,,,,,"11.792,78",,,,,,,,,,,,
BREJOES-BA,,,,,BA,,,"1.074,89",,,,,,-,,,,,,,"1.074,89",,,,,,,"12.915,91",,,,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUERAREMA-BA,,,,,BA,,,"1.168,35",,,,,,-,,,,,,,"1.168,35",,,,,,,"14.039,03",,,,,,,,,,,,
CAATIBA-BA,,,,,BA,,,"981,42",,,,,,-,,,,,,,"981,42",,,,,,,"11.792,78",,,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,"1.121,62",,,,,,-,,,,,,,"1.121,62",,,,,,,"13.477,47",,,,,,,,,,,,
CACHOEIRA-BA,,,,,BA,,,"1.355,29",,,,,,-,,,,,,,"1.355,29",,,,,,,"16.285,30",,,,,,,,,,,,
CAEM-BA,,,,,BA,,,"981,42",,,,,,-,,,,,,,"981,42",,,,,,,"11.792,78",,,,,,,,,,,,
CAETANOS-BA,,,,,BA,,,"1.028,15",,,,,,-,,,,,,,"1.028,15",,,,,,,"12.354,35",,,,,,,,,,,,
CAIRU-BA,,,,,BA,,,"32.289,14",,,,,,"372.093,55",,,,,,,"404.382,69",,,,,,,"4.854.984,32",,,,,,,,,,,,
CAMACAN-BA,,,,,BA,,,"1.308,56",,,,,,-,,,,,,,"1.308,56",,,,,,,"15.723,73",,,,,,,,,,,,
CAMACARI-BA,,,,,BA,,,"270.586,47",,,,,,"113.198,22",,,,,,,"383.784,69",,,,,,,"4.540.265,59",,,,,,,,,,,,
CAMAMU-BA,,,,,BA,,,"1.355,29",,,,,,-,,,,,,,"1.355,29",,,,,,,"16.285,30",,,,,,,,,,,,
CANAVIEIRAS-BA,,,,,BA,,,"1.355,29",,,,,,-,,,,,,,"1.355,29",,,,,,,"16.285,30",,,,,,,,,,,,
CANDEAL-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
CANDEIAS-BA,,,,,BA,,,"402.594,49",,,,,,"388.160,79",,,,,,,"790.755,28",,,,,,,"7.583.167,35",,,,,,,,,,,,
CANDIDO SALES-BA,,,,,BA,,,"1.261,82",,,,,,-,,,,,,,"1.261,82",,,,,,,"15.162,16",,,,,,,,,,,,
CANSANCAO-BA,,,,,BA,,,"1.355,29",,,,,,-,,,,,,,"1.355,29",,,,,,,"16.285,30",,,,,,,,,,,,
CANUDOS-BA,,,,,BA,,,"1.074,89",,,,,,-,,,,,,,"1.074,89",,,,,,,"12.915,91",,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,"981,42",,,,,,-,,,,,,,"981,42",,,,,,,"11.792,78",,,,,,,,,,,,
CAPIM GROSSO-BA,,,,,BA,,,"1.261,82",,,,,,-,,,,,,,"1.261,82",,,,,,,"15.162,16",,,,,,,,,,,,
CARAVELAS-BA,,,,,BA,,,"1.215,09",,,,,,-,,,,,,,"1.215,09",,,,,,,"14.600,61",,,,,,,,,,,,
CARDEAL DA SILVA-BA,,,,,BA,,,"101.739,66",,,,,,"25.018,38",,,,,,,"126.758,04",,,,,,,"1.123.138,50",,,,,,,,,,,,
CASTRO ALVES-BA,,,,,BA,,,"1.261,82",,,,,,-,,,,,,,"1.261,82",,,,,,,"15.162,16",,,,,,,,,,,,
CATU-BA,,,,,BA,,,"204.186,82",,,,,,"100.888,50",,,,,,,"305.075,32",,,,,,,"3.308.173,70",,,,,,,,,,,,
CICERO DANTAS-BA,,,,,BA,,,"1.355,29",,,,,,-,,,,,,,"1.355,29",,,,,,,"16.285,30",,,,,,,,,,,,
CIPO-BA,,,,,BA,,,"1.074,89",,,,,,-,,,,,,,"1.074,89",,,,,,,"12.915,91",,,,,,,,,,,,
COARACI-BA,,,,,BA,,,"1.215,09",,,,,,-,,,,,,,"1.215,09",,,,,,,"14.600,61",,,,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,BA,,,"1.215,09",,,,,,-,,,,,,,"1.215,09",,,,,,,"14.600,61",,,,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,"1.121,62",,,,,,-,,,,,,,"1.121,62",,,,,,,"13.477,47",,,,,,,,,,,,
CONCEICAO DO COITE-BA,,,,,BA,,,"1.542,23",,,,,,-,,,,,,,"1.542,23",,,,,,,"18.531,54",,,,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,BA,,,"1.308,56",,,,,,-,,,,,,,"1.308,56",,,,,,,"15.723,73",,,,,,,,,,,,
CONDE-BA,,,,,BA,,,"3.477,35",,,,,,"1.459,16",,,,,,,"4.936,51",,,,,,,"47.971,72",,,,,,,,,,,,
CORACAO DE MARIA-BA,,,,,BA,,,"1.215,09",,,,,,-,,,,,,,"1.215,09",,,,,,,"14.600,61",,,,,,,,,,,,
CORONEL JOAO SA-BA,,,,,BA,,,"1.121,62",,,,,,-,,,,,,,"1.121,62",,,,,,,"13.477,47",,,,,,,,,,,,
CRAVOLANDIA-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
CRISOPOLIS-BA,,,,,BA,,,"1.215,09",,,,,,-,,,,,,,"1.215,09",,,,,,,"14.600,61",,,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,BA,,,"1.542,23",,,,,,-,,,,,,,"1.542,23",,,,,,,"18.531,54",,,,,,,,,,,,
DARIO MEIRA-BA,,,,,BA,,,"1.028,15",,,,,,-,,,,,,,"1.028,15",,,,,,,"12.354,35",,,,,,,,,,,,
DIAS D'AVILA-BA,,,,,BA,,,"1.588,96",,,,,,-,,,,,,,"1.588,96",,,,,,,"19.093,11",,,,,,,,,,,,
DOM MACEDO COSTA-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
ELISIO MEDRADO-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
ENCRUZILHADA-BA,,,,,BA,,,"1.215,09",,,,,,-,,,,,,,"1.215,09",,,,,,,"14.600,61",,,,,,,,,,,,
ENTRE RIOS-BA,,,,,BA,,,"203.592,51",,,,,,"144.708,04",,,,,,,"348.300,55",,,,,,,"4.012.963,33",,,,,,,,,,,,
ESPLANADA-BA,,,,,BA,,,"313.878,79",,,,,,"241.810,45",,,,,,,"555.689,24",,,,,,,"6.809.987,97",,,,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,BA,,,"1.542,23",,,,,,-,,,,,,,"1.542,23",,,,,,,"18.531,54",,,,,,,,,,,,
EUNAPOLIS-BA,,,,,BA,,,"232.136,66",,,,,,"6.043,92",,,,,,,"238.180,58",,,,,,,"2.586.892,59",,,,,,,,,,,,
FATIMA-BA,,,,,BA,,,"1.121,62",,,,,,-,,,,,,,"1.121,62",,,,,,,"13.477,47",,,,,,,,,,,,
FEIRA DE SANTANA-BA,,,,,BA,,,"1.869,37",,,,,,-,,,,,,,"1.869,37",,,,,,,"22.462,49",,,,,,,,,,,,
FIRMINO ALVES-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
FLORESTA AZUL-BA,,,,,BA,,,"981,42",,,,,,-,,,,,,,"981,42",,,,,,,"11.792,78",,,,,,,,,,,,
GANDU-BA,,,,,BA,,,"1.308,56",,,,,,-,,,,,,,"1.308,56",,,,,,,"15.723,73",,,,,,,,,,,,
GAVIAO-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
GLORIA-BA,,,,,BA,,,"1.074,89",,,,,,-,,,,,,,"1.074,89",,,,,,,"12.915,91",,,,,,,,,,,,
GONGOGI-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,BA,,,"1.168,35",,,,,,-,,,,,,,"1.168,35",,,,,,,"14.039,03",,,,,,,,,,,,
GUARATINGA-BA,,,,,BA,,,"1.215,09",,,,,,-,,,,,,,"1.215,09",,,,,,,"14.600,61",,,,,,,,,,,,
HELIOPOLIS-BA,,,,,BA,,,"1.028,15",,,,,,-,,,,,,,"1.028,15",,,,,,,"12.354,35",,,,,,,,,,,,
IACU-BA,,,,,BA,,,"1.261,82",,,,,,-,,,,,,,"1.261,82",,,,,,,"15.162,16",,,,,,,,,,,,
IBICARAI-BA,,,,,BA,,,"1.261,82",,,,,,-,,,,,,,"1.261,82",,,,,,,"15.162,16",,,,,,,,,,,,
IBICUI-BA,,,,,BA,,,"1.074,89",,,,,,-,,,,,,,"1.074,89",,,,,,,"12.915,91",,,,,,,,,,,,
IBIQUERA-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBIRAPITANGA-BA,,,,,BA,,,"1.215,09",,,,,,-,,,,,,,"1.215,09",,,,,,,"14.600,61",,,,,,,,,,,,
IBIRAPUA-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
IBIRATAIA-BA,,,,,BA,,,"1.168,35",,,,,,-,,,,,,,"1.168,35",,,,,,,"14.039,03",,,,,,,,,,,,
ICHU-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
IGRAPIUNA-BA,,,,,BA,,,"1.028,15",,,,,,-,,,,,,,"1.028,15",,,,,,,"12.354,35",,,,,,,,,,,,
IGUAI-BA,,,,,BA,,,"1.261,82",,,,,,-,,,,,,,"1.261,82",,,,,,,"15.162,16",,,,,,,,,,,,
ILHEUS-BA,,,,,BA,,,"1.869,37",,,,,,-,,,,,,,"1.869,37",,,,,,,"22.462,49",,,,,,,,,,,,
INHAMBUPE-BA,,,,,BA,,,"2.127,20",,,,,,"369,84",,,,,,,"2.497,04",,,,,,,"28.600,65",,,,,,,,,,,,
IPECAETA-BA,,,,,BA,,,"1.074,89",,,,,,-,,,,,,,"1.074,89",,,,,,,"12.915,91",,,,,,,,,,,,
IPIAU-BA,,,,,BA,,,"1.448,76",,,,,,-,,,,,,,"1.448,76",,,,,,,"17.408,41",,,,,,,,,,,,
IPIRA-BA,,,,,BA,,,"1.542,23",,,,,,-,,,,,,,"1.542,23",,,,,,,"18.531,54",,,,,,,,,,,,
IRAJUBA-BA,,,,,BA,,,"934,68",,,,,,-,,,,,,,"934,68",,,,,,,"11.231,22",,,,,,,,,,,,
IRARA-BA,,,,,BA,,,"1.261,82",,,,,,-,,,,,,,"1.261,82",,,,,,,"15.162,16",,,,,,,,,,,,
ITABELA-BA,,,,,BA,,,"1.308,56",,,,,,-,,,,,,,"1.308,56",,,,,,,"15.723,73",,,,,,,,,,,,
ITABERABA-BA,,,,,BA,,,"1.542,23",,,,,,-,,,,,,,"1.542,23",,,,,,,"18.531,54",,,,,,,,,,,,
ITABUNA-BA,,,,,BA,,,"232.276,86",,,,,,"933,20",,,,,,,"233.210,06",,,,,,,"2.545.331,47",,,,,,,,,,,,
ITACARE-BA,,,,,BA,,,"1.261,82",,,,,,-,,,,,,,"1.261,82",,,,,,,"15.162,16",,,,,,,,,,,,
ITAGI-BA,,,,,BA,,,"1.028,15",,,,,,-,,,,,,,"1.028,15",,,,,,,"12.354,35",,,,,,,,,,,,
