CABACEIRAS DO PARAGUACU-BA,,,,,,BA,,,,"67,65",,,,,,,,-,,,,,,"67,65",,,,,,"127,28",,,,,,,,,,,
CACHOEIRA-BA,,,,,,BA,,,,"82,35",,,,,,,,-,,,,,,"82,35",,,,,,"154,95",,,,,,,,,,,
CAEM-BA,,,,,,BA,,,,"64,71",,,,,,,,-,,,,,,"64,71",,,,,,"121,75",,,,,,,,,,,
CAETANOS-BA,,,,,,BA,,,,"64,71",,,,,,,,-,,,,,,"64,71",,,,,,"121,75",,,,,,,,,,,
CAMACARI-BA,,,,,,BA,,,,"790,40",,,,,,,,"383,47",,,,,,"1.173,87",,,,,,"2.071,24",,,,,,,,,,,
CANDEAL-BA,,,,,,BA,,,,"61,76",,,,,,,,-,,,,,,"61,76",,,,,,"116,21",,,,,,,,,,,
CANDEIAS-BA,,,,,,BA,,,,"215.571,82",,,,,,,,"232.312,71",,,,,,"447.884,53",,,,,,"946.809,20",,,,,,,,,,,
CANDIDO SALES-BA,,,,,,BA,,,,"82,35",,,,,,,,-,,,,,,"82,35",,,,,,"154,95",,,,,,,,,,,
CANSANCAO-BA,,,,,,BA,,,,"82,35",,,,,,,,-,,,,,,"82,35",,,,,,"154,95",,,,,,,,,,,
CANUDOS-BA,,,,,,BA,,,,"64,71",,,,,,,,-,,,,,,"64,71",,,,,,"121,75",,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,BA,,,,"61,76",,,,,,,,-,,,,,,"61,76",,,,,,"116,21",,,,,,,,,,,
CAPIM GROSSO-BA,,,,,,BA,,,,"76,47",,,,,,,,-,,,,,,"76,47",,,,,,"143,88",,,,,,,,,,,
CARDEAL DA SILVA-BA,,,,,,BA,,,,"125.108,58",,,,,,,,"36.582,21",,,,,,"161.690,79",,,,,,"323.450,56",,,,,,,,,,,
CASTRO ALVES-BA,,,,,,BA,,,,"79,41",,,,,,,,-,,,,,,"79,41",,,,,,"149,41",,,,,,,,,,,
CATU-BA,,,,,,BA,,,,"212.768,77",,,,,,,,"118.646,09",,,,,,"331.414,86",,,,,,"651.397,98",,,,,,,,,,,
CICERO DANTAS-BA,,,,,,BA,,,,"82,35",,,,,,,,-,,,,,,"82,35",,,,,,"154,95",,,,,,,,,,,
CIPO-BA,,,,,,BA,,,,"67,65",,,,,,,,-,,,,,,"67,65",,,,,,"127,28",,,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,,BA,,,,"70,59",,,,,,,,-,,,,,,"70,59",,,,,,"132,81",,,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,BA,,,,"73,53",,,,,,,,-,,,,,,"73,53",,,,,,"138,35",,,,,,,,,,,
CONCEICAO DO COITE-BA,,,,,,BA,,,,"97,06",,,,,,,,-,,,,,,"97,06",,,,,,"182,62",,,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,BA,,,,"79,41",,,,,,,,-,,,,,,"79,41",,,,,,"149,41",,,,,,,,,,,
CONDE-BA,,,,,,BA,,,,"1.360,29",,,,,,,,"828,06",,,,,,"2.188,35",,,,,,"2.255,76",,,,,,,,,,,
CORACAO DE MARIA-BA,,,,,,BA,,,,"76,47",,,,,,,,-,,,,,,"76,47",,,,,,"143,88",,,,,,,,,,,
CORONEL JOAO SA-BA,,,,,,BA,,,,"73,53",,,,,,,,-,,,,,,"73,53",,,,,,"138,35",,,,,,,,,,,
CRAVOLANDIA-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
CRISOPOLIS-BA,,,,,,BA,,,,"73,53",,,,,,,,-,,,,,,"73,53",,,,,,"138,35",,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,,BA,,,,"94,12",,,,,,,,-,,,,,,"94,12",,,,,,"177,09",,,,,,,,,,,
DARIO MEIRA-BA,,,,,,BA,,,,"67,65",,,,,,,,-,,,,,,"67,65",,,,,,"127,28",,,,,,,,,,,
DIAS D'AVILA-BA,,,,,,BA,,,,"91,18",,,,,,,,-,,,,,,"91,18",,,,,,"171,55",,,,,,,,,,,
DOM MACEDO COSTA-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
ELISIO MEDRADO-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
ENCRUZILHADA-BA,,,,,,BA,,,,"85,30",,,,,,,,-,,,,,,"85,30",,,,,,"160,49",,,,,,,,,,,
ENTRE RIOS-BA,,,,,,BA,,,,"214.604,55",,,,,,,,"138.882,92",,,,,,"353.487,47",,,,,,"687.884,61",,,,,,,,,,,
ESPLANADA-BA,,,,,,BA,,,,"541.122,58",,,,,,,,"349.427,49",,,,,,"890.550,07",,,,,,"2.850.660,74",,,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,BA,,,,"94,12",,,,,,,,-,,,,,,"94,12",,,,,,"177,09",,,,,,,,,,,
FATIMA-BA,,,,,,BA,,,,"73,53",,,,,,,,-,,,,,,"73,53",,,,,,"138,35",,,,,,,,,,,
FEIRA DE SANTANA-BA,,,,,,BA,,,,"117,65",,,,,,,,-,,,,,,"117,65",,,,,,"221,36",,,,,,,,,,,
GAVIAO-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
GLORIA-BA,,,,,,BA,,,,"67,65",,,,,,,,-,,,,,,"67,65",,,,,,"127,28",,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,BA,,,,"70,59",,,,,,,,-,,,,,,"70,59",,,,,,"132,81",,,,,,,,,,,
HELIOPOLIS-BA,,,,,,BA,,,,"64,71",,,,,,,,-,,,,,,"64,71",,,,,,"121,75",,,,,,,,,,,
IACU-BA,,,,,,BA,,,,"82,35",,,,,,,,-,,,,,,"82,35",,,,,,"154,95",,,,,,,,,,,
IBIQUERA-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICHU-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
INHAMBUPE-BA,,,,,,BA,,,,"82,35",,,,,,,,-,,,,,,"82,35",,,,,,"154,95",,,,,,,,,,,
IPECAETA-BA,,,,,,BA,,,,"73,53",,,,,,,,-,,,,,,"73,53",,,,,,"138,35",,,,,,,,,,,
IPIRA-BA,,,,,,BA,,,,"97,06",,,,,,,,-,,,,,,"97,06",,,,,,"182,62",,,,,,,,,,,
IRAJUBA-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
IRARA-BA,,,,,,BA,,,,"79,41",,,,,,,,-,,,,,,"79,41",,,,,,"149,41",,,,,,,,,,,
ITABERABA-BA,,,,,,BA,,,,"97,06",,,,,,,,-,,,,,,"97,06",,,,,,"182,62",,,,,,,,,,,
ITAGI-BA,,,,,,BA,,,,"67,65",,,,,,,,-,,,,,,"67,65",,,,,,"127,28",,,,,,,,,,,
ITAMBE-BA,,,,,,BA,,,,"82,35",,,,,,,,-,,,,,,"82,35",,,,,,"154,95",,,,,,,,,,,
ITANAGRA-BA,,,,,,BA,,,,"88.976,57",,,,,,,,"14.761,78",,,,,,"103.738,35",,,,,,"207.618,56",,,,,,,,,,,
ITAPARICA-BA,,,,,,BA,,,,"2.929,73",,,,,,,,"117.627,89",,,,,,"120.557,62",,,,,,"254.501,29",,,,,,,,,,,
ITAPETINGA-BA,,,,,,BA,,,,"97,06",,,,,,,,-,,,,,,"97,06",,,,,,"182,62",,,,,,,,,,,
ITAPICURU-BA,,,,,,BA,,,,"79,41",,,,,,,,-,,,,,,"79,41",,,,,,"149,41",,,,,,,,,,,
ITAQUARA-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
ITARANTIM-BA,,,,,,BA,,,,"70,59",,,,,,,,-,,,,,,"70,59",,,,,,"132,81",,,,,,,,,,,
ITATIM-BA,,,,,,BA,,,,"64,71",,,,,,,,-,,,,,,"64,71",,,,,,"121,75",,,,,,,,,,,
ITIRUCU-BA,,,,,,BA,,,,"64,71",,,,,,,,-,,,,,,"64,71",,,,,,"121,75",,,,,,,,,,,
ITIUBA-BA,,,,,,BA,,,,"85,30",,,,,,,,-,,,,,,"85,30",,,,,,"160,49",,,,,,,,,,,
JACOBINA-BA,,,,,,BA,,,,"102,94",,,,,,,,-,,,,,,"102,94",,,,,,"193,69",,,,,,,,,,,
JAGUAQUARA-BA,,,,,,BA,,,,"91,18",,,,,,,,-,,,,,,"91,18",,,,,,"171,55",,,,,,,,,,,
JAGUARIPE-BA,,,,,,BA,,,,"64,71",,,,,,,,-,,,,,,"64,71",,,,,,"121,75",,,,,,,,,,,
JANDAIRA-BA,,,,,,BA,,,,"61,76",,,,,,,,-,,,,,,"61,76",,,,,,"116,21",,,,,,,,,,,
JEQUIE-BA,,,,,,BA,,,,"117,65",,,,,,,,-,,,,,,"117,65",,,,,,"221,36",,,,,,,,,,,
JEREMOABO-BA,,,,,,BA,,,,"85,30",,,,,,,,-,,,,,,"85,30",,,,,,"160,49",,,,,,,,,,,
JIQUIRICA-BA,,,,,,BA,,,,"64,71",,,,,,,,-,,,,,,"64,71",,,,,,"121,75",,,,,,,,,,,
JITAUNA-BA,,,,,,BA,,,,"76,47",,,,,,,,-,,,,,,"76,47",,,,,,"143,88",,,,,,,,,,,
LAFAIETE COUTINHO-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
LAJE-BA,,,,,,BA,,,,"73,53",,,,,,,,-,,,,,,"73,53",,,,,,"138,35",,,,,,,,,,,
LAJEDINHO-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
LAMARAO-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
LAURO DE FREITAS-BA,,,,,,BA,,,,"111,77",,,,,,,,-,,,,,,"111,77",,,,,,"210,29",,,,,,,,,,,
MACAJUBA-BA,,,,,,BA,,,,"61,76",,,,,,,,-,,,,,,"61,76",,,,,,"116,21",,,,,,,,,,,
MACARANI-BA,,,,,,BA,,,,"67,65",,,,,,,,-,,,,,,"67,65",,,,,,"127,28",,,,,,,,,,,
MADRE DE DEUS-BA,,,,,,BA,,,,"1.177.584,53",,,,,,,,"538.148,28",,,,,,"1.715.732,81",,,,,,"3.140.717,60",,,,,,,,,,,
MAIQUINIQUE-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
MAIRI-BA,,,,,,BA,,,,"76,47",,,,,,,,-,,,,,,"76,47",,,,,,"143,88",,,,,,,,,,,
MANOEL VITORINO-BA,,,,,,BA,,,,"70,59",,,,,,,,-,,,,,,"70,59",,,,,,"132,81",,,,,,,,,,,
MARACAS-BA,,,,,,BA,,,,"82,35",,,,,,,,-,,,,,,"82,35",,,,,,"154,95",,,,,,,,,,,
MARAGOGIPE-BA,,,,,,BA,,,,"91,18",,,,,,,,-,,,,,,"91,18",,,,,,"171,55",,,,,,,,,,,
MARCIONILIO SOUZA-BA,,,,,,BA,,,,"61,76",,,,,,,,-,,,,,,"61,76",,,,,,"116,21",,,,,,,,,,,
MATA DE SAO JOAO-BA,,,,,,BA,,,,"172.401,15",,,,,,,,"76.359,25",,,,,,"248.760,40",,,,,,"499.492,50",,,,,,,,,,,
MIGUEL CALMON-BA,,,,,,BA,,,,"82,35",,,,,,,,-,,,,,,"82,35",,,,,,"154,95",,,,,,,,,,,
MILAGRES-BA,,,,,,BA,,,,"64,71",,,,,,,,-,,,,,,"64,71",,,,,,"121,75",,,,,,,,,,,
MIRANTE-BA,,,,,,BA,,,,"64,71",,,,,,,,-,,,,,,"64,71",,,,,,"121,75",,,,,,,,,,,
MONTE SANTO-BA,,,,,,BA,,,,"94,12",,,,,,,,-,,,,,,"94,12",,,,,,"177,09",,,,,,,,,,,
MUNDO NOVO-BA,,,,,,BA,,,,"76,47",,,,,,,,-,,,,,,"76,47",,,,,,"143,88",,,,,,,,,,,
