PIACABUCU-AL,,,,,,,AL,,"700,35",,,,,,-,,,,,"700,35",,,,,,"700,35",,,,,,,,
PILAR-AL,,,,,,,AL,,"114.359,35",,,,,,"73.562,49",,,,,"187.921,84",,,,,,"187.921,84",,,,,,,,
PINDOBA-AL,,,,,,,AL,,"583,62",,,,,,-,,,,,"583,62",,,,,,"583,62",,,,,,,,
PORTO CALVO-AL,,,,,,,AL,,"787,89",,,,,,-,,,,,"787,89",,,,,,"787,89",,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,AL,,"583,62",,,,,,-,,,,,"583,62",,,,,,"583,62",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,AL,,"729,53",,,,,,-,,,,,"729,53",,,,,,"729,53",,,,,,,,
RIO LARGO-AL,,,,,,,AL,,"8.112,53",,,,,,"4.592,64",,,,,"12.705,17",,,,,,"12.705,17",,,,,,,,
ROTEIRO-AL,,,,,,,AL,,"79.142,34",,,,,,"1.018,74",,,,,"80.161,08",,,,,,"80.161,08",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,AL,,"78.962,20",,,,,,"427,27",,,,,"79.389,47",,,,,,"79.389,47",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,AL,,"612,81",,,,,,-,,,,,"612,81",,,,,,"612,81",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,AL,,"758,71",,,,,,-,,,,,"758,71",,,,,,"758,71",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,AL,,"846,26",,,,,,-,,,,,"846,26",,,,,,"846,26",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,AL,,"260.559,49",,,,,,"147.106,16",,,,,"407.665,65",,,,,,"407.665,65",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,AL,,"583,62",,,,,,-,,,,,"583,62",,,,,,"583,62",,,,,,,,
TEOTONIO VILELA-AL,,,,,,,AL,,"904,62",,,,,,-,,,,,"904,62",,,,,,"904,62",,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,AL,,"962,98",,,,,,-,,,,,"962,98",,,,,,"962,98",,,,,,,,
VICOSA-AL,,,,,,,AL,,"787,89",,,,,,-,,,,,"787,89",,,,,,"787,89",,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,"2.538.702,24",,,,,,"422.498,45",,,,,"2.961.200,69",,,,,,"2.961.200,69",,,,,,,,
ANAMA-AM,,,,,,,AM,,-,,,,,,"2.551,35",,,,,"2.551,35",,,,,,"2.551,35",,,,,,,,
ANORI-AM,,,,,,,AM,,-,,,,,,"2.551,35",,,,,"2.551,35",,,,,,"2.551,35",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTAZES-AM,,,,,,,AM,,-,,,,,,"6.944,42",,,,,"6.944,42",,,,,,"6.944,42",,,,,,,,
BERURI-AM,,,,,,,AM,,-,,,,,,"2.551,35",,,,,"2.551,35",,,,,,"2.551,35",,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,AM,,-,,,,,,"6.944,42",,,,,"6.944,42",,,,,,"6.944,42",,,,,,,,
CAREIRO-AM,,,,,,,AM,,-,,,,,,"2.551,35",,,,,"2.551,35",,,,,,"2.551,35",,,,,,,,
COARI-AM,,,,,,,AM,,"2.633.185,15",,,,,,"2.626.304,35",,,,,"5.259.489,50",,,,,,"5.259.489,50",,,,,,,,
CODAJAS-AM,,,,,,,AM,,-,,,,,,"2.551,35",,,,,"2.551,35",,,,,,"2.551,35",,,,,,,,
IRANDUBA-AM,,,,,,,AM,,-,,,,,,"6.944,42",,,,,"6.944,42",,,,,,"6.944,42",,,,,,,,
ITACOATIARA-AM,,,,,,,AM,,-,,,,,,"6.944,42",,,,,"6.944,42",,,,,,"6.944,42",,,,,,,,
ITAPIRANGA-AM,,,,,,,AM,,-,,,,,,"6.944,42",,,,,"6.944,42",,,,,,"6.944,42",,,,,,,,
MANACAPURU-AM,,,,,,,AM,,-,,,,,,"2.551,35",,,,,"2.551,35",,,,,,"2.551,35",,,,,,,,
MANAQUIRI-AM,,,,,,,AM,,-,,,,,,"2.551,35",,,,,"2.551,35",,,,,,"2.551,35",,,,,,,,
MANAUS-AM,,,,,,,AM,,"1.619.161,21",,,,,,"87.484,04",,,,,"1.706.645,25",,,,,,"1.706.645,25",,,,,,,,
PARINTINS-AM,,,,,,,AM,,-,,,,,,"6.944,42",,,,,"6.944,42",,,,,,"6.944,42",,,,,,,,
SILVES-AM,,,,,,,AM,,-,,,,,,"6.944,42",,,,,"6.944,42",,,,,,"6.944,42",,,,,,,,
URUCARA-AM,,,,,,,AM,,-,,,,,,"6.944,42",,,,,"6.944,42",,,,,,"6.944,42",,,,,,,,
URUCURITUBA-AM,,,,,,,AM,,-,,,,,,"6.944,42",,,,,"6.944,42",,,,,,"6.944,42",,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,"4.252.346,36",,,,,,"2.794.147,62",,,,,"7.046.493,98",,,,,,"7.046.493,98",,,,,,,,
LARANJAL DO JARI-AP,,,,,,,AP,,-,,,,,,"6.944,42",,,,,"6.944,42",,,,,,"6.944,42",,,,,,,,
MACAPA-AP,,,,,,,AP,,-,,,,,,"6.944,42",,,,,"6.944,42",,,,,,"6.944,42",,,,,,,,
MAZAGAO-AP,,,,,,,AP,,-,,,,,,"6.944,42",,,,,"6.944,42",,,,,,"6.944,42",,,,,,,,
AMAPA  TOTAL,,,,,,,,,-,,,,,,"20.833,26",,,,,"20.833,26",,,,,,"20.833,26",,,,,,,,
ACAJUTIBA-BA,,,,,,,BA,,"967,69",,,,,,-,,,,,"967,69",,,,,,"967,69",,,,,,,,
ADUSTINA-BA,,,,,,,BA,,"967,69",,,,,,-,,,,,"967,69",,,,,,"967,69",,,,,,,,
AGUA FRIA-BA,,,,,,,BA,,"967,69",,,,,,-,,,,,"967,69",,,,,,"967,69",,,,,,,,
AIQUARA-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
ALAGOINHAS-BA,,,,,,,BA,,"467.113,80",,,,,,"361.120,14",,,,,"828.233,94",,,,,,"828.233,94",,,,,,,,
ALCOBACA-BA,,,,,,,BA,,"1.093,91",,,,,,-,,,,,"1.093,91",,,,,,"1.093,91",,,,,,,,
ALMADINA-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
AMARGOSA-BA,,,,,,,BA,,"1.220,13",,,,,,-,,,,,"1.220,13",,,,,,"1.220,13",,,,,,,,
AMELIA RODRIGUES-BA,,,,,,,BA,,"1.135,98",,,,,,-,,,,,"1.135,98",,,,,,"1.135,98",,,,,,,,
ANAGE-BA,,,,,,,BA,,"1.135,98",,,,,,-,,,,,"1.135,98",,,,,,"1.135,98",,,,,,,,
ANGUERA-BA,,,,,,,BA,,"883,54",,,,,,-,,,,,"883,54",,,,,,"883,54",,,,,,,,
ANTAS-BA,,,,,,,BA,,"1.009,76",,,,,,-,,,,,"1.009,76",,,,,,"1.009,76",,,,,,,,
ANTONIO CARDOSO-BA,,,,,,,BA,,"883,54",,,,,,-,,,,,"883,54",,,,,,"883,54",,,,,,,,
APORA-BA,,,,,,,BA,,"1.009,76",,,,,,-,,,,,"1.009,76",,,,,,"1.009,76",,,,,,,,
APUAREMA-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
ARACAS-BA,,,,,,,BA,,"287.552,59",,,,,,"151.167,92",,,,,"438.720,51",,,,,,"438.720,51",,,,,,,,
ARACI-BA,,,,,,,BA,,"1.346,35",,,,,,-,,,,,"1.346,35",,,,,,"1.346,35",,,,,,,,
ARAMARI-BA,,,,,,,BA,,"883,54",,,,,,-,,,,,"883,54",,,,,,"883,54",,,,,,,,
ARATACA-BA,,,,,,,BA,,"883,54",,,,,,-,,,,,"883,54",,,,,,"883,54",,,,,,,,
ARATUIPE-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
AURELINO LEAL-BA,,,,,,,BA,,"925,61",,,,,,-,,,,,"925,61",,,,,,"925,61",,,,,,,,
BAIXA GRANDE-BA,,,,,,,BA,,"1.093,91",,,,,,-,,,,,"1.093,91",,,,,,"1.093,91",,,,,,,,
BANZAE-BA,,,,,,,BA,,"883,54",,,,,,-,,,,,"883,54",,,,,,"883,54",,,,,,,,
BARRA DO CHOCA-BA,,,,,,,BA,,"1.220,13",,,,,,-,,,,,"1.220,13",,,,,,"1.220,13",,,,,,,,
BARRA DO ROCHA-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
BARRO PRETO-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
BARROCAS-BA,,,,,,,BA,,"967,69",,,,,,-,,,,,"967,69",,,,,,"967,69",,,,,,,,
BELMONTE-BA,,,,,,,BA,,"1.093,91",,,,,,-,,,,,"1.093,91",,,,,,"1.093,91",,,,,,,,
BELO CAMPO-BA,,,,,,,BA,,"1.009,76",,,,,,-,,,,,"1.009,76",,,,,,"1.009,76",,,,,,,,
BIRITINGA-BA,,,,,,,BA,,"967,69",,,,,,-,,,,,"967,69",,,,,,"967,69",,,,,,,,
BOA NOVA-BA,,,,,,,BA,,"967,69",,,,,,-,,,,,"967,69",,,,,,"967,69",,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,BA,,"1.009,76",,,,,,-,,,,,"1.009,76",,,,,,"1.009,76",,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,,BA,,"883,54",,,,,,-,,,,,"883,54",,,,,,"883,54",,,,,,,,
BREJOES-BA,,,,,,,BA,,"967,69",,,,,,-,,,,,"967,69",,,,,,"967,69",,,,,,,,
BUERAREMA-BA,,,,,,,BA,,"1.051,83",,,,,,-,,,,,"1.051,83",,,,,,"1.051,83",,,,,,,,
CAATIBA-BA,,,,,,,BA,,"883,54",,,,,,-,,,,,"883,54",,,,,,"883,54",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,,BA,,"1.009,76",,,,,,-,,,,,"1.009,76",,,,,,"1.009,76",,,,,,,,
CACHOEIRA-BA,,,,,,,BA,,"1.220,13",,,,,,-,,,,,"1.220,13",,,,,,"1.220,13",,,,,,,,
CAEM-BA,,,,,,,BA,,"883,54",,,,,,-,,,,,"883,54",,,,,,"883,54",,,,,,,,
CAETANOS-BA,,,,,,,BA,,"925,61",,,,,,-,,,,,"925,61",,,,,,"925,61",,,,,,,,
CAIRU-BA,,,,,,,BA,,"32.588,98",,,,,,"326.815,62",,,,,"359.404,60",,,,,,"359.404,60",,,,,,,,
CAMACAN-BA,,,,,,,BA,,"1.178,05",,,,,,-,,,,,"1.178,05",,,,,,"1.178,05",,,,,,,,
CAMACARI-BA,,,,,,,BA,,"2.630,70",,,,,,"398,06",,,,,"3.028,76",,,,,,"3.028,76",,,,,,,,
CAMAMU-BA,,,,,,,BA,,"1.220,13",,,,,,-,,,,,"1.220,13",,,,,,"1.220,13",,,,,,,,
CANAVIEIRAS-BA,,,,,,,BA,,"1.220,13",,,,,,-,,,,,"1.220,13",,,,,,"1.220,13",,,,,,,,
CANDEAL-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
CANDEIAS-BA,,,,,,,BA,,"259.446,83",,,,,,"297.634,17",,,,,"557.081,00",,,,,,"557.081,00",,,,,,,,
CANDIDO SALES-BA,,,,,,,BA,,"1.135,98",,,,,,-,,,,,"1.135,98",,,,,,"1.135,98",,,,,,,,
CANSANCAO-BA,,,,,,,BA,,"1.220,13",,,,,,-,,,,,"1.220,13",,,,,,"1.220,13",,,,,,,,
CANUDOS-BA,,,,,,,BA,,"967,69",,,,,,-,,,,,"967,69",,,,,,"967,69",,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,BA,,"883,54",,,,,,-,,,,,"883,54",,,,,,"883,54",,,,,,,,
CAPIM GROSSO-BA,,,,,,,BA,,"1.135,98",,,,,,-,,,,,"1.135,98",,,,,,"1.135,98",,,,,,,,
CARAVELAS-BA,,,,,,,BA,,"1.093,91",,,,,,-,,,,,"1.093,91",,,,,,"1.093,91",,,,,,,,
CARDEAL DA SILVA-BA,,,,,,,BA,,"144.445,73",,,,,,"141.019,45",,,,,"285.465,18",,,,,,"285.465,18",,,,,,,,
CASTRO ALVES-BA,,,,,,,BA,,"1.135,98",,,,,,-,,,,,"1.135,98",,,,,,"1.135,98",,,,,,,,
CATU-BA,,,,,,,BA,,"218.446,45",,,,,,"215.779,13",,,,,"434.225,58",,,,,,"434.225,58",,,,,,,,
CICERO DANTAS-BA,,,,,,,BA,,"1.220,13",,,,,,-,,,,,"1.220,13",,,,,,"1.220,13",,,,,,,,
CIPO-BA,,,,,,,BA,,"967,69",,,,,,-,,,,,"967,69",,,,,,"967,69",,,,,,,,
COARACI-BA,,,,,,,BA,,"1.093,91",,,,,,-,,,,,"1.093,91",,,,,,"1.093,91",,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,,,BA,,"1.093,91",,,,,,-,,,,,"1.093,91",,,,,,"1.093,91",,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,,BA,,"1.009,76",,,,,,-,,,,,"1.009,76",,,,,,"1.009,76",,,,,,,,
CONCEICAO DO COITE-BA,,,,,,,BA,,"1.388,42",,,,,,-,,,,,"1.388,42",,,,,,"1.388,42",,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,,BA,,"1.178,05",,,,,,-,,,,,"1.178,05",,,,,,"1.178,05",,,,,,,,
CONDE-BA,,,,,,,BA,,"5.465,72",,,,,,"2.819,82",,,,,"8.285,54",,,,,,"8.285,54",,,,,,,,
CORACAO DE MARIA-BA,,,,,,,BA,,"1.093,91",,,,,,-,,,,,"1.093,91",,,,,,"1.093,91",,,,,,,,
CORONEL JOAO SA-BA,,,,,,,BA,,"1.009,76",,,,,,-,,,,,"1.009,76",,,,,,"1.009,76",,,,,,,,
CRAVOLANDIA-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
CRISOPOLIS-BA,,,,,,,BA,,"1.093,91",,,,,,-,,,,,"1.093,91",,,,,,"1.093,91",,,,,,,,
CRUZ DAS ALMAS-BA,,,,,,,BA,,"1.388,42",,,,,,-,,,,,"1.388,42",,,,,,"1.388,42",,,,,,,,
DARIO MEIRA-BA,,,,,,,BA,,"925,61",,,,,,-,,,,,"925,61",,,,,,"925,61",,,,,,,,
DIAS D'AVILA-BA,,,,,,,BA,,"1.430,49",,,,,,-,,,,,"1.430,49",,,,,,"1.430,49",,,,,,,,
DOM MACEDO COSTA-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
ELISIO MEDRADO-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
ENCRUZILHADA-BA,,,,,,,BA,,"1.093,91",,,,,,-,,,,,"1.093,91",,,,,,"1.093,91",,,,,,,,
ENTRE RIOS-BA,,,,,,,BA,,"350.841,57",,,,,,"356.996,16",,,,,"707.837,73",,,,,,"707.837,73",,,,,,,,
ESPLANADA-BA,,,,,,,BA,,"611.320,85",,,,,,"672.740,08",,,,,"1.284.060,93",,,,,,"1.284.060,93",,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,,BA,,"1.388,42",,,,,,-,,,,,"1.388,42",,,,,,"1.388,42",,,,,,,,
EUNAPOLIS-BA,,,,,,,BA,,"1.556,71",,,,,,-,,,,,"1.556,71",,,,,,"1.556,71",,,,,,,,
FATIMA-BA,,,,,,,BA,,"1.009,76",,,,,,-,,,,,"1.009,76",,,,,,"1.009,76",,,,,,,,
FEIRA DE SANTANA-BA,,,,,,,BA,,"1.682,93",,,,,,-,,,,,"1.682,93",,,,,,"1.682,93",,,,,,,,
FIRMINO ALVES-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
FLORESTA AZUL-BA,,,,,,,BA,,"883,54",,,,,,-,,,,,"883,54",,,,,,"883,54",,,,,,,,
GANDU-BA,,,,,,,BA,,"1.178,05",,,,,,-,,,,,"1.178,05",,,,,,"1.178,05",,,,,,,,
GAVIAO-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
GLORIA-BA,,,,,,,BA,,"967,69",,,,,,-,,,,,"967,69",,,,,,"967,69",,,,,,,,
GONGOGI-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,,BA,,"1.051,83",,,,,,-,,,,,"1.051,83",,,,,,"1.051,83",,,,,,,,
GUARATINGA-BA,,,,,,,BA,,"1.093,91",,,,,,-,,,,,"1.093,91",,,,,,"1.093,91",,,,,,,,
HELIOPOLIS-BA,,,,,,,BA,,"925,61",,,,,,-,,,,,"925,61",,,,,,"925,61",,,,,,,,
IACU-BA,,,,,,,BA,,"1.135,98",,,,,,-,,,,,"1.135,98",,,,,,"1.135,98",,,,,,,,
IBICARAI-BA,,,,,,,BA,,"1.135,98",,,,,,-,,,,,"1.135,98",,,,,,"1.135,98",,,,,,,,
IBICUI-BA,,,,,,,BA,,"967,69",,,,,,-,,,,,"967,69",,,,,,"967,69",,,,,,,,
IBIQUERA-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBIRAPITANGA-BA,,,,,,,BA,,"1.093,91",,,,,,-,,,,,"1.093,91",,,,,,"1.093,91",,,,,,,,
IBIRAPUA-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
IBIRATAIA-BA,,,,,,,BA,,"1.051,83",,,,,,-,,,,,"1.051,83",,,,,,"1.051,83",,,,,,,,
ICHU-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
IGRAPIUNA-BA,,,,,,,BA,,"925,61",,,,,,-,,,,,"925,61",,,,,,"925,61",,,,,,,,
IGUAI-BA,,,,,,,BA,,"1.135,98",,,,,,-,,,,,"1.135,98",,,,,,"1.135,98",,,,,,,,
ILHEUS-BA,,,,,,,BA,,"1.682,93",,,,,,-,,,,,"1.682,93",,,,,,"1.682,93",,,,,,,,
INHAMBUPE-BA,,,,,,,BA,,"2.463,99",,,,,,"612,91",,,,,"3.076,90",,,,,,"3.076,90",,,,,,,,
IPECAETA-BA,,,,,,,BA,,"967,69",,,,,,-,,,,,"967,69",,,,,,"967,69",,,,,,,,
IPIAU-BA,,,,,,,BA,,"1.304,27",,,,,,-,,,,,"1.304,27",,,,,,"1.304,27",,,,,,,,
IPIRA-BA,,,,,,,BA,,"1.388,42",,,,,,-,,,,,"1.388,42",,,,,,"1.388,42",,,,,,,,
IRAJUBA-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
IRARA-BA,,,,,,,BA,,"1.135,98",,,,,,-,,,,,"1.135,98",,,,,,"1.135,98",,,,,,,,
ITABELA-BA,,,,,,,BA,,"1.178,05",,,,,,-,,,,,"1.178,05",,,,,,"1.178,05",,,,,,,,
ITABERABA-BA,,,,,,,BA,,"1.388,42",,,,,,-,,,,,"1.388,42",,,,,,"1.388,42",,,,,,,,
ITABUNA-BA,,,,,,,BA,,"1.682,93",,,,,,-,,,,,"1.682,93",,,,,,"1.682,93",,,,,,,,
ITACARE-BA,,,,,,,BA,,"1.135,98",,,,,,-,,,,,"1.135,98",,,,,,"1.135,98",,,,,,,,
ITAGI-BA,,,,,,,BA,,"925,61",,,,,,-,,,,,"925,61",,,,,,"925,61",,,,,,,,
ITAGIBA-BA,,,,,,,BA,,"967,69",,,,,,-,,,,,"967,69",,,,,,"967,69",,,,,,,,
ITAGIMIRIM-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
ITAJU DO COLONIA-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
ITAJUIPE-BA,,,,,,,BA,,"1.093,91",,,,,,-,,,,,"1.093,91",,,,,,"1.093,91",,,,,,,,
ITAMARAJU-BA,,,,,,,BA,,"1.388,42",,,,,,-,,,,,"1.388,42",,,,,,"1.388,42",,,,,,,,
ITAMARI-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
ITAMBE-BA,,,,,,,BA,,"1.093,91",,,,,,-,,,,,"1.093,91",,,,,,"1.093,91",,,,,,,,
ITANAGRA-BA,,,,,,,BA,,"92.082,20",,,,,,"10.494,22",,,,,"102.576,42",,,,,,"102.576,42",,,,,,,,
ITANHEM-BA,,,,,,,BA,,"1.093,91",,,,,,-,,,,,"1.093,91",,,,,,"1.093,91",,,,,,,,
ITAPARICA-BA,,,,,,,BA,,"114.768,55",,,,,,"195.692,43",,,,,"310.460,98",,,,,,"310.460,98",,,,,,,,
ITAPE-BA,,,,,,,BA,,"883,54",,,,,,-,,,,,"883,54",,,,,,"883,54",,,,,,,,
ITAPEBI-BA,,,,,,,BA,,"883,54",,,,,,-,,,,,"883,54",,,,,,"883,54",,,,,,,,
ITAPETINGA-BA,,,,,,,BA,,"1.430,49",,,,,,-,,,,,"1.430,49",,,,,,"1.430,49",,,,,,,,
ITAPICURU-BA,,,,,,,BA,,"1.220,13",,,,,,-,,,,,"1.220,13",,,,,,"1.220,13",,,,,,,,
ITAPITANGA-BA,,,,,,,BA,,"883,54",,,,,,-,,,,,"883,54",,,,,,"883,54",,,,,,,,
ITAQUARA-BA,,,,,,,BA,,"841,46",,,,,,-,,,,,"841,46",,,,,,"841,46",,,,,,,,
ITARANTIM-BA,,,,,,,BA,,"1.051,83",,,,,,-,,,,,"1.051,83",,,,,,"1.051,83",,,,,,,,
ITATIM-BA,,,,,,,BA,,"967,69",,,,,,-,,,,,"967,69",,,,,,"967,69",,,,,,,,
ITIRUCU-BA,,,,,,,BA,,"925,61",,,,,,-,,,,,"925,61",,,,,,"925,61",,,,,,,,
ITIUBA-BA,,,,,,,BA,,"1.262,20",,,,,,-,,,,,"1.262,20",,,,,,"1.262,20",,,,,,,,
ITORORO-BA,,,,,,,BA,,"1.051,83",,,,,,-,,,,,"1.051,83",,,,,,"1.051,83",,,,,,,,
ITUBERA-BA,,,,,,,BA,,"1.135,98",,,,,,-,,,,,"1.135,98",,,,,,"1.135,98",,,,,,,,
JACOBINA-BA,,,,,,,BA,,"1.472,57",,,,,,-,,,,,"1.472,57",,,,,,"1.472,57",,,,,,,,
JAGUAQUARA-BA,,,,,,,BA,,"1.346,35",,,,,,-,,,,,"1.346,35",,,,,,"1.346,35",,,,,,,,
JAGUARIPE-BA,,,,,,,BA,,"30.227,46",,,,,,-,,,,,"30.227,46",,,,,,"30.227,46",,,,,,,,
JANDAIRA-BA,,,,,,,BA,,"883,54",,,,,,-,,,,,"883,54",,,,,,"883,54",,,,,,,,
JEQUIE-BA,,,,,,,BA,,"1.682,93",,,,,,-,,,,,"1.682,93",,,,,,"1.682,93",,,,,,,,
