BOM JESUS DA SERRA-BA,,,,,,,,,,BA,,,,"929,48",,,,,,,,-,,,,,,"929,48",,,,,,,,,"4.576,87",,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREJOES-BA,,,,,,,,,,BA,,,,"1.018,00",,,,,,,,-,,,,,,"1.018,00",,,,,,,,,"5.012,77",,,,,,,
BUERAREMA-BA,,,,,,,,,,BA,,,,"1.106,52",,,,,,,,-,,,,,,"1.106,52",,,,,,,,,"5.448,65",,,,,,,
CAATIBA-BA,,,,,,,,,,BA,,,,"929,48",,,,,,,,-,,,,,,"929,48",,,,,,,,,"4.576,87",,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,,,,,BA,,,,"1.062,26",,,,,,,,-,,,,,,"1.062,26",,,,,,,,,"5.230,70",,,,,,,
CACHOEIRA-BA,,,,,,,,,,BA,,,,"1.283,57",,,,,,,,-,,,,,,"1.283,57",,,,,,,,,"6.320,45",,,,,,,
CAEM-BA,,,,,,,,,,BA,,,,"929,48",,,,,,,,-,,,,,,"929,48",,,,,,,,,"4.576,87",,,,,,,
CAETANOS-BA,,,,,,,,,,BA,,,,"973,74",,,,,,,,-,,,,,,"973,74",,,,,,,,,"4.794,81",,,,,,,
CAIRU-BA,,,,,,,,,,BA,,,,"30.580,38",,,,,,,,"345.923,93",,,,,,"376.504,31",,,,,,,,,"1.853.150,51",,,,,,,
CAMACAN-BA,,,,,,,,,,BA,,,,"1.239,31",,,,,,,,-,,,,,,"1.239,31",,,,,,,,,"6.102,49",,,,,,,
CAMACARI-BA,,,,,,,,,,BA,,,,"2.677,52",,,,,,,,"380,97",,,,,,"3.058,49",,,,,,,,,"14.849,65",,,,,,,
CAMAMU-BA,,,,,,,,,,BA,,,,"1.283,57",,,,,,,,-,,,,,,"1.283,57",,,,,,,,,"6.320,45",,,,,,,
CANAVIEIRAS-BA,,,,,,,,,,BA,,,,"1.283,57",,,,,,,,-,,,,,,"1.283,57",,,,,,,,,"6.320,45",,,,,,,
CANDEAL-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
CANDEIAS-BA,,,,,,,,,,BA,,,,"286.762,02",,,,,,,,"387.384,69",,,,,,"674.146,71",,,,,,,,,"2.884.799,75",,,,,,,
CANDIDO SALES-BA,,,,,,,,,,BA,,,,"1.195,05",,,,,,,,-,,,,,,"1.195,05",,,,,,,,,"5.884,56",,,,,,,
CANSANCAO-BA,,,,,,,,,,BA,,,,"1.283,57",,,,,,,,-,,,,,,"1.283,57",,,,,,,,,"6.320,45",,,,,,,
CANUDOS-BA,,,,,,,,,,BA,,,,"1.018,00",,,,,,,,-,,,,,,"1.018,00",,,,,,,,,"5.012,77",,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,,,,BA,,,,"929,48",,,,,,,,-,,,,,,"929,48",,,,,,,,,"4.576,87",,,,,,,
CAPIM GROSSO-BA,,,,,,,,,,BA,,,,"1.195,05",,,,,,,,-,,,,,,"1.195,05",,,,,,,,,"5.884,56",,,,,,,
CARAVELAS-BA,,,,,,,,,,BA,,,,"1.150,78",,,,,,,,-,,,,,,"1.150,78",,,,,,,,,"5.666,60",,,,,,,
CARDEAL DA SILVA-BA,,,,,,,,,,BA,,,,"180.227,18",,,,,,,,"57.776,95",,,,,,"238.004,13",,,,,,,,,"1.160.503,03",,,,,,,
CASTRO ALVES-BA,,,,,,,,,,BA,,,,"1.195,05",,,,,,,,-,,,,,,"1.195,05",,,,,,,,,"5.884,56",,,,,,,
CATU-BA,,,,,,,,,,BA,,,,"297.509,32",,,,,,,,"143.808,60",,,,,,"441.317,92",,,,,,,,,"1.871.850,59",,,,,,,
CICERO DANTAS-BA,,,,,,,,,,BA,,,,"1.283,57",,,,,,,,-,,,,,,"1.283,57",,,,,,,,,"6.320,45",,,,,,,
CIPO-BA,,,,,,,,,,BA,,,,"1.018,00",,,,,,,,-,,,,,,"1.018,00",,,,,,,,,"5.012,77",,,,,,,
COARACI-BA,,,,,,,,,,BA,,,,"1.150,78",,,,,,,,-,,,,,,"1.150,78",,,,,,,,,"5.666,60",,,,,,,
CONCEICAO DA FEIRA-BA,,,,,,,,,,BA,,,,"1.150,78",,,,,,,,-,,,,,,"1.150,78",,,,,,,,,"5.666,60",,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,,,,,BA,,,,"1.062,26",,,,,,,,-,,,,,,"1.062,26",,,,,,,,,"5.230,70",,,,,,,
CONCEICAO DO COITE-BA,,,,,,,,,,BA,,,,"1.460,61",,,,,,,,-,,,,,,"1.460,61",,,,,,,,,"7.192,23",,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,,,,,BA,,,,"1.239,31",,,,,,,,-,,,,,,"1.239,31",,,,,,,,,"6.102,49",,,,,,,
CONDE-BA,,,,,,,,,,BA,,,,"6.749,06",,,,,,,,"3.610,89",,,,,,"10.359,95",,,,,,,,,"42.341,14",,,,,,,
CORACAO DE MARIA-BA,,,,,,,,,,BA,,,,"1.150,78",,,,,,,,-,,,,,,"1.150,78",,,,,,,,,"5.666,60",,,,,,,
CORONEL JOAO SA-BA,,,,,,,,,,BA,,,,"1.062,26",,,,,,,,-,,,,,,"1.062,26",,,,,,,,,"5.230,70",,,,,,,
CRAVOLANDIA-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
CRISOPOLIS-BA,,,,,,,,,,BA,,,,"1.150,78",,,,,,,,-,,,,,,"1.150,78",,,,,,,,,"5.666,60",,,,,,,
CRUZ DAS ALMAS-BA,,,,,,,,,,BA,,,,"1.460,61",,,,,,,,-,,,,,,"1.460,61",,,,,,,,,"7.192,23",,,,,,,
DARIO MEIRA-BA,,,,,,,,,,BA,,,,"973,74",,,,,,,,-,,,,,,"973,74",,,,,,,,,"4.794,81",,,,,,,
DIAS D'AVILA-BA,,,,,,,,,,BA,,,,"1.504,87",,,,,,,,-,,,,,,"1.504,87",,,,,,,,,"7.410,16",,,,,,,
DOM MACEDO COSTA-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
ELISIO MEDRADO-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
ENCRUZILHADA-BA,,,,,,,,,,BA,,,,"1.150,78",,,,,,,,-,,,,,,"1.150,78",,,,,,,,,"5.666,60",,,,,,,
ENTRE RIOS-BA,,,,,,,,,,BA,,,,"446.952,45",,,,,,,,"294.810,94",,,,,,"741.763,39",,,,,,,,,"3.359.478,72",,,,,,,
ESPLANADA-BA,,,,,,,,,,BA,,,,"700.533,89",,,,,,,,"470.119,66",,,,,,"1.170.653,55",,,,,,,,,"5.608.574,08",,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,,,,,BA,,,,"1.460,61",,,,,,,,-,,,,,,"1.460,61",,,,,,,,,"7.192,23",,,,,,,
EUNAPOLIS-BA,,,,,,,,,,BA,,,,"1.637,66",,,,,,,,-,,,,,,"1.637,66",,,,,,,,,"8.064,02",,,,,,,
FATIMA-BA,,,,,,,,,,BA,,,,"1.062,26",,,,,,,,-,,,,,,"1.062,26",,,,,,,,,"5.230,70",,,,,,,
FEIRA DE SANTANA-BA,,,,,,,,,,BA,,,,"1.770,44",,,,,,,,-,,,,,,"1.770,44",,,,,,,,,"8.717,86",,,,,,,
FIRMINO ALVES-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
FLORESTA AZUL-BA,,,,,,,,,,BA,,,,"929,48",,,,,,,,-,,,,,,"929,48",,,,,,,,,"4.576,87",,,,,,,
GANDU-BA,,,,,,,,,,BA,,,,"1.239,31",,,,,,,,-,,,,,,"1.239,31",,,,,,,,,"6.102,49",,,,,,,
GAVIAO-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
GLORIA-BA,,,,,,,,,,BA,,,,"1.018,00",,,,,,,,-,,,,,,"1.018,00",,,,,,,,,"5.012,77",,,,,,,
GONGOGI-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,,,,,BA,,,,"1.106,52",,,,,,,,-,,,,,,"1.106,52",,,,,,,,,"5.448,65",,,,,,,
GUARATINGA-BA,,,,,,,,,,BA,,,,"1.150,78",,,,,,,,-,,,,,,"1.150,78",,,,,,,,,"5.666,60",,,,,,,
HELIOPOLIS-BA,,,,,,,,,,BA,,,,"973,74",,,,,,,,-,,,,,,"973,74",,,,,,,,,"4.794,81",,,,,,,
IACU-BA,,,,,,,,,,BA,,,,"1.195,05",,,,,,,,-,,,,,,"1.195,05",,,,,,,,,"5.884,56",,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBICARAI-BA,,,,,,,,,,BA,,,,"1.195,05",,,,,,,,-,,,,,,"1.195,05",,,,,,,,,"5.884,56",,,,,,,
IBICUI-BA,,,,,,,,,,BA,,,,"1.018,00",,,,,,,,-,,,,,,"1.018,00",,,,,,,,,"5.012,77",,,,,,,
IBIQUERA-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
IBIRAPITANGA-BA,,,,,,,,,,BA,,,,"1.150,78",,,,,,,,-,,,,,,"1.150,78",,,,,,,,,"5.666,60",,,,,,,
IBIRAPUA-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
IBIRATAIA-BA,,,,,,,,,,BA,,,,"1.106,52",,,,,,,,-,,,,,,"1.106,52",,,,,,,,,"5.448,65",,,,,,,
ICHU-BA,,,,,,,,,,BA,,,,"885,22",,,,,,,,-,,,,,,"885,22",,,,,,,,,"4.358,92",,,,,,,
IGRAPIUNA-BA,,,,,,,,,,BA,,,,"973,74",,,,,,,,-,,,,,,"973,74",,,,,,,,,"4.794,81",,,,,,,
IGUAI-BA,,,,,,,,,,BA,,,,"1.195,05",,,,,,,,-,,,,,,"1.195,05",,,,,,,,,"5.884,56",,,,,,,
ILHEUS-BA,,,,,,,,,,BA,,,,"1.770,44",,,,,,,,-,,,,,,"1.770,44",,,,,,,,,"8.717,86",,,,,,,
INHAMBUPE-BA,,,,,,,,,,BA,,,,"2.275,24",,,,,,,,"483,18",,,,,,"2.758,42",,,,,,,,,"14.459,06",,,,,,,
IPECAETA-BA,,,,,,,,,,BA,,,,"1.018,00",,,,,,,,-,,,,,,"1.018,00",,,,,,,,,"5.012,77",,,,,,,
IPIAU-BA,,,,,,,,,,BA,,,,"1.372,09",,,,,,,,-,,,,,,"1.372,09",,,,,,,,,"6.756,33",,,,,,,
